year,population
2025,1454606724
2024,1441719852
2023,1438069596
2022,1425423212
2021,1414203896
2020,1402617695
2019,1389030312
2018,1374659064
2017,1359657400
2016,1343944296
2015,1328024498
2014,1312277191
2013,1295829511
2012,1278674502
2011,1261224954
2010,1243481564
2009,1225524753
2008,1207930964
2007,1190676021
2006,1172878890
2005,1154676322
2004,1135991513
2003,1116803006
2002,1097600380
2001,1077898575
2000,1057922733
1999,1038225823
1998,1018665080
1997,999133762
1996,979678458
1995,960301044
1994,941163767
1993,922118387
1992,902957070
1991,883927600
1990,864972221
1989,846039529
1988,827342990
1987,808931270
1986,790689978
1985,772647793
1984,754875449
1983,737372681
1982,720313473
1981,703696250
1980,687354025
1979,671155747
1978,655728229
1977,640801103
1976,625861883
1975,611309535
1974,597041391
1973,583465598
1972,570482142
1971,558096387
1970,545864268
1969,533880544
1968,522716889
1967,511606372
1966,500740247
